epoch,train_loss,eval_loss,eval_top1,eval_top5,lr
0,4.715369642467719,3.200125227355957,34.67,85.1,1e-05
1,2.6784397337714476,1.5871105379104615,46.48,92.98,0.00010899999999999999
2,2.4592898178955354,1.4116085121154784,53.19,94.46,0.000208
